City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
404,zhigansk,67,RU,1583983631,91,66.77,123.37,-19.41,21.85
405,astaneh-ye ashrafiyeh,1,IR,1583983633,70,37.26,49.94,54.72,4.76
406,arroyo,100,ES,1583983634,81,41.61,-4.8,53.01,4.7
407,cozumel,5,MX,1583983635,78,20.51,-86.95,75.99,4.7
408,san jeronimo,100,PE,1583983637,91,-11.95,-75.28,38.84,4.32
409,lamu,97,KE,1583983638,77,-2.27,40.9,83.05,15.28
410,uvalde,1,US,1583983639,53,29.37,-99.77,77.0,5.82
411,svetlyy,33,RU,1583983640,84,54.67,20.13,39.2,11.18
412,college,90,US,1583983641,70,64.86,-147.8,1.4,1.97
413,ngunguru,64,NZ,1583983642,73,-35.62,174.5,70.0,5.99
414,pimenta bueno,84,BR,1583983643,95,-11.67,-61.19,72.99,3.13
415,nanortalik,0,GL,1583983644,72,60.14,-45.24,25.66,5.19
416,ulladulla,40,AU,1583983645,53,-35.35,150.47,73.99,14.99
417,chapais,75,CA,1583983647,76,49.78,-74.85,-9.4,2.59
418,sambava,100,MG,1583983062,87,-14.27,50.17,75.9,1.74
419,maraa,100,BR,1583983649,92,-1.83,-65.37,75.58,1.52
420,hirara,75,JP,1583983650,68,24.8,125.28,68.0,12.75
421,nantucket,1,US,1583983587,93,41.28,-70.1,39.99,5.82
